VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments
NlAExDiwf7Q,https://www.youtube.com/watch?v=NlAExDiwf7Q,UCDYBoHKSJRywQ4kPytx3G-A,Sức Khỏe 1001,Personal,Chế Độ Ăn Chuẩn Nhất Dành Cho Người Tiểu Đường Tuyp 1 Người Bệnh Phải Biết Nếu Muốn Sống Thọ Hơn,20,103000,3724,2021-04-03T10:02:34Z,13M40S,1
_WK9ZfMDyhA,https://www.youtube.com/watch?v=_WK9ZfMDyhA,UCSCcR7ckfyA169MWg6PrNbA,Ths Ds Trần Thị Nhung,Personal,#tiểuđường Triệu chứng của ĐTĐ type 1 và 2 . Bộ sản phẩm giúp bệnh nhân có cơ hội bỏ thuốc tây,2,30000,47,2023-08-16T10:11:43Z,12M31S,2
4h15YpIpk_w,https://www.youtube.com/watch?v=4h15YpIpk_w,UCTlZx0LcdlMXrDD-vpFyW_w,Minhanh Lê,Personal,Điều trị đái tháo đường type 1 cô Thuý (DLS ĐT),0,30,29,2025-02-25T10:18:27Z,43M57S,0
R9X31d-6rZc,https://www.youtube.com/watch?v=R9X31d-6rZc,UC-DBvuODYky4tAimLSEHZUQ,THUỐC TỐT 24H,Personal,Tìm hiểu về bệnh tiểu đường tuyp 1 và tuyp 2,0,442,1263,2018-05-26T14:11:24Z,3M40S,0
IBRZ3z2RAVc,https://www.youtube.com/watch?v=IBRZ3z2RAVc,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,Trái Cây Dành Cho Người Bị Tiểu Đường | Dr Ngọc,385,1310000,21770,2024-03-28T09:00:07Z,7M23S,88
7IYV7WGmFG4,https://www.youtube.com/watch?v=7IYV7WGmFG4,UC-c1TX2LiWJmhm6duI5Rd-w,BÁC SĨ TRẦN MINH OFFICIAL,Organization,CHỈ SỐ ĐƯỜNG HUYẾT CAO không nên ăn những thực phẩm này | Bác Sĩ Trần Minh,104,261000,2851,2024-05-14T05:00:07Z,1M28S,8
1UNg47FkedM,https://www.youtube.com/watch?v=1UNg47FkedM,UCY2tka3CeQCfqKZbLVXAQBg,Dược Sĩ Nguyên 5G,Personal,BỆNH TIỂU ĐƯỜNG: HIỂU VÀ PHÒNG NGỪA BỆNH TIỂU ĐƯỜNG TYPE 1 VÀ TYPE 2#DuocsiNguyen5G #Tieuduong,4,4790,336,2024-07-19T17:56:51Z,1H3S,0
eY8MlK0yXrU,https://www.youtube.com/watch?v=eY8MlK0yXrU,UCPN9Ox7sOYr_kKtO59RtkZw,Khỏe Tự Nhiên Đỗ Ngọc Diệp,Personal,5 bước NHẬN BIẾT SỚM dấu hiệu tiểu đường | Đỗ Ngọc Diệp,5,22100,223,2023-08-02T13:00:07Z,8M23S,1
nMDb6mXT-rk,https://www.youtube.com/watch?v=nMDb6mXT-rk,UCM9I-aFPJof-u4g0YXMkDLA,Dược Liệu Pù Mát,Personal,Trà thảo dược cho người tiểu đường#tieuduong #tratuiloc #daythiacanh #duoclieupumat,0,64,11,2025-02-07T11:59:08Z,49S,0
nGv1R-kpYtc,https://www.youtube.com/watch?v=nGv1R-kpYtc,UCAohH07tUJop3u4enjyR8cQ,SÁCH Y KHOA CAO TRẦN,Personal,"Đái tháo đường tuýp 1, Diabetes Mellitus Type 1",0,76,169,2023-01-05T08:45:00Z,6M24S,0
_5mzwo5PCzg,https://www.youtube.com/watch?v=_5mzwo5PCzg,UC7JCm61YJ446a3yFyeK-kMg,Quang Ngo,Personal,ĐTĐ type 1 và DKA,2,53,66,2024-08-03T16:22:18Z,2H15M9S,0
hzRvfIb7QbA,https://www.youtube.com/watch?v=hzRvfIb7QbA,UCDYBoHKSJRywQ4kPytx3G-A,Sức Khỏe 1001,Personal,Người Tiểu Đường Mỗi Ngày Uống Nước 1 Nắm Hạt Này 1 Tuần Sau Đường Huyết Ổn Định Ngay Xuống 6.5,46,103000,8282,2020-10-30T00:00:09Z,13M36S,6
jdOOGhcovVg,https://www.youtube.com/watch?v=jdOOGhcovVg,UCM9I-aFPJof-u4g0YXMkDLA,Dược Liệu Pù Mát,Personal,Gợi ý 4 cách hạ đường huyết ngay tại nhà dễ thực hiện   #duoclieu  #tieuduong    #duoclieupumat,7,64,2836,2025-05-20T02:28:53Z,43S,0
DJLG20F5LZg,https://www.youtube.com/watch?v=DJLG20F5LZg,UCyyBwmLwgobr9-CSU9JuX3w,THS BS PHAN ANH TUẤN OFFICIAL,Organization,5 NGUY HIỂM CỦA BỆNH TIỂU ĐƯỜNG MÀ BẠN CẦN BIẾT #shorts #thsbsphananhtuanofficial #tieuduong,15,7070,297,2023-08-26T11:30:10Z,41S,0
