VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments,Type
zawNFy_BulQ,https://www.youtube.com/watch?v=zawNFy_BulQ,UCRdD55JrlRDzHeec3bKrH4g,VOA Tiếng Việt,Personal,Cách điều trị bệnh tiểu đường | VOA,9093,1760000,941514,2023-05-31T17:17:47Z,1H15M26S,888,1
IobP9bu-gVQ,https://www.youtube.com/watch?v=IobP9bu-gVQ,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,Chỉ số đường huyết bao nhiêu cảnh báo bệnh tiểu đường | Dr Ngọc #short #shorts #drngoc,875,1310000,83214,2024-04-14T00:00:13Z,55S,40,1
j65ITCD9p4c,https://www.youtube.com/watch?v=j65ITCD9p4c,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,Biến chứng của bệnh tiểu đường | Dr Ngọc #short #shorts #drngoc,202,1310000,8412,2024-06-21T00:00:16Z,46S,15,1
ra6KarjNA1I,https://www.youtube.com/watch?v=ra6KarjNA1I,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,Những biến chứng thường xuất hiện ở người bệnh tiểu đường,157,1650000,14068,2024-06-13T10:52:46Z,53S,1,1
exZ78aRPsnM,https://www.youtube.com/watch?v=exZ78aRPsnM,UC_kSOy981Lct-JHkCcpgsZg,Dr. Wynn Tran Official,Organization,#81. Ăn uống chữa bệnh tiểu đường,14509,819000,1648292,2019-07-23T22:40:10Z,1H29M43S,827,1
JmFzpquWWNc,https://www.youtube.com/watch?v=JmFzpquWWNc,UCepZ0FGWvrZoY5Z_6W8Jyyg,TCI Hospital,Personal,Tiểu đường và biến chứng tiểu đường,7,296000,1520,2023-06-23T10:44:17Z,1M36S,0,1
hSmzlTRFNWU,https://www.youtube.com/watch?v=hSmzlTRFNWU,UCabsTV34JwALXKGMqHpvUiA,VTV24,Personal,Cảnh báo tiêm Insulin sai cách cho những người bị bệnh tiểu đường  - Tin Tức VTV24,529,6610000,223432,2017-12-15T06:55:00Z,2M17S,0,1
6oKIRuVFG9s,https://www.youtube.com/watch?v=6oKIRuVFG9s,UCuqtKp77ZbFRUFLq05-ddkw,Bệnh viện ĐKQT Vinmec,Personal,Đu đủ - Người tiểu đường & tiểu đường thai kỳ ăn được không?| BS Võ Hà Băng Sương - Vinmec Phú Quốc,0,723000,203755,2021-04-16T13:06:59Z,5M40S,26,1
zKNkN08szXI,https://www.youtube.com/watch?v=zKNkN08szXI,UCNbodx_2BbN_FzbO4_4NG0g,IVIE - BÁC SĨ ƠI,Personal,"Bệnh tiểu đường loại 1: Dấu hiệu, triệu chứng, và điều trị",85,3600,16455,2021-06-29T02:00:08Z,2M53S,5,1
lsL2gpzrA6A,https://www.youtube.com/watch?v=lsL2gpzrA6A,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,6 Cách Đảo Ngược Tiền Tiểu Đường Không Cần Dùng Thuốc | Dr Ngọc,2858,1310000,185471,2023-03-08T13:30:07Z,6M44S,317,1
QcQSrxA9T68,https://www.youtube.com/watch?v=QcQSrxA9T68,UCYIUuKyiDCBnG-tp6jr-1nA,Truyen Hinh Vinh Long,Personal,Dr. Khỏe - Tập 1147: Cà chua giúp phòng chống bệnh tiểu đường,78,5590000,16326,2021-06-05T13:00:23Z,4M7S,3,1
kGWjFQttbkc,https://www.youtube.com/watch?v=kGWjFQttbkc,UCjU5gokRK4BpkEKef-tshVg,Mater,Personal,Bệnh Tiểu đường Thai kỳ: những điều quý vị cần biết | Mater Mothers,0,26500,107,2025-06-24T05:11:39Z,12M58S,0,1
O-0KT8EpWWg,https://www.youtube.com/watch?v=O-0KT8EpWWg,UC6O1Gy5IpWzMkglOjdweeBQ,Organic Life,Personal,10 Dấu hiệu của BỆNH TIỂU ĐƯỜNG loại 2,141,6510,35949,2020-10-24T15:30:12Z,4M43S,18,1
ec9ivnfp2E0,https://www.youtube.com/watch?v=ec9ivnfp2E0,UCkUgUwqHmGVx2jzUeaMyQdA,Minh Duc Vu Official,Organization,🧩 👀 BỆNH TIỂU ĐƯỜNG ‼️ CÁC BIẾN CHỨNG NGUY HIỂM & PHƯƠNG PHÁP ĐIỀU TRỊ TẠI NHÀ • BS.CK2. VŨ MINH ĐỨC,1245,237000,69018,2024-12-13T12:15:08Z,41M53S,158,1
eH-MkklTP6A,https://www.youtube.com/watch?v=eH-MkklTP6A,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,Những xét nghiệm nào giúp phát hiện sớm bệnh tiểu đường? TS.BS Trần Minh Triết,235,1650000,28225,2023-08-14T07:41:31Z,15M47S,3,1
e5aR4Msxd7k,https://www.youtube.com/watch?v=e5aR4Msxd7k,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,Cơ chế bệnh tiểu đường hiểu rõ để dự phòng bệnh | Dr Ngọc #shorts #short #drngoc,566,1310000,27036,2023-06-27T04:00:17Z,1M,15,1
tw5mgWE09p0,https://www.youtube.com/watch?v=tw5mgWE09p0,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,Bệnh tiểu đường tuýp 2 nguy hiểm thế nào và biến chứng thường gặp? Giải đáp 1001 thắc mắc,31,1650000,5012,2023-08-12T08:35:37Z,1M54S,1,1
